београдско-карловачка;Архиепископија;Београд
аустралијско-новозеландска;Митрополија;Сиднеј
дабробосанска;Митрополија;Сарајево
загребачко-љубљанска;Митрополија;Загреб
црногорско-приморска;Митрополија;Цетиње
аустријско-швајцарска;Епархија;Беч
банатска;Епархија;Вршац
бањалучка;Епархија;Бања Лука
бачка;Епархија;Нови Сад
бихаћко-петровачка;Епархија;Бихаћ
браничевска;Епархија;Пожаревац
британско-скандинавска;Епархија;Лондон
будимска;Епархија;Будимпешта
будимљанско-никшићка;Епархија;Никшић
буенос-ајреска;Епархија;Буенос Ајрес
ваљевска;Епархија;Ваљево
врањска;Епархија;Врање
горњокарловачка;Епархија;Карловац
далматинска;Епархија;Шибеник
диселдорфска и немачка;Епархија;Диселдорф
жичка;Епархија;Краљево
западноамеричка;Епархија;Сан Франциско
западноевропска;Епархија;Париз
захумско-херцеговачка;Епархија;Требиње
зворничко-тузланска;Епархија;Бијељина
источноамеричка;Епархија;Њујорк
канадска;Епархија;Торонто
крушевачка;Епархија;Крушевац
милешевска;Епархија;Пријепоље
нишка;Епархија;Ниш
новограчаничко-средњезападноамеричка;Епархија;Чикаго
осечкопољска и барањска;Епархија;Осијек
рашко-призренска;Епархија;Призрен
славонска;Епархија;Пакрац
сремска;Епархија;Сремски Карловци
тимочка;Епархија;Зајечар
темишварска;Епархија;Темишвар
шабачка;Епархија;Шабац
шумадијска;Епархија;Крагујевац
ПРАВОСЛАВНА ОХРИДСКА;Архиепископија;Охрид
